Drug_ID	Target_ID
4316.0	P00918
4293.0	P00918
1612.0	P00918
4369102.0	P00918
68844.0	P00918
1604.0	P00918
4369101.0	P00918
5287541.0	P00918
176407.0	P29274
176407.0	P30543
5265.0	P14416
24776271.0	P17931
24776276.0	P17931
4149208.0	O67648
22045784.0	O67648
22173981.0	O67648
226105.0	P9WIK2
281255.0	P9WIK2
332060.0	P9WIK2
222819.0	P9WIK2
3623732.0	P9WIK2
244578.0	P9WIK2
245500.0	P9WIK2
313619.0	P9WIK2
123686.0	P08588
4883.0	P08588
2249.0	P08588
1978.0	P08588
2687.0	P08588
4930.0	P08588
4946.0	P08588
5253.0	P08588
2119.0	P08588
2475.0	P08588
39147.0	P08588
5478.0	P08588
3682.0	P08588
2083.0	P08588
5403.0	P08588
123686.0	P07550
4883.0	P07550
2249.0	P07550
1978.0	P07550
2687.0	P07550
4930.0	P07550
4946.0	P07550
5253.0	P07550
2119.0	P07550
2475.0	P07550
39147.0	P07550
5478.0	P07550
3682.0	P07550
2083.0	P07550
5403.0	P07550
123686.0	P13945
4883.0	P13945
2249.0	P13945
1978.0	P13945
2687.0	P13945
4930.0	P13945
4946.0	P13945
5253.0	P13945
2119.0	P13945
2475.0	P13945
39147.0	P13945
5478.0	P13945
3682.0	P13945
2083.0	P13945
5403.0	P13945
91896047.0	P15056
91501740.0	P15056
73010396.0	P15056
91203188.0	P15056
90747418.0	P15056
90709673.0	P15056
91391208.0	P15056
91593400.0	P15056
123631.0	P00533
10297043.0	P00533
123631.0	P00533
10297043.0	P00533
449241.0	P05132
449241.0	O75116
53805115.0	P37231
25263499.0	P39900
25263500.0	P39900
25263501.0	P39900
23643104.0	P39900
10708295.0	P39900
25263502.0	P39900
25263503.0	P39900
4963667.0	Q7Z1V1
4295.0	Q7Z1V1
42618100.0	P00734
42618101.0	P00734
42618102.0	P00734
42618103.0	P00734
42618104.0	P00734
42618105.0	P00734
42618106.0	P00734
42618107.0	P00734
42618108.0	P00734
42618109.0	P00734
42618110.0	P00734
42618112.0	P00734
42618113.0	P00734
42618115.0	P00734
42618116.0	P00734
42618118.0	P00734
42618119.0	P00734
42618121.0	P00734
42618122.0	P00734
42618124.0	P00734
42618125.0	P00734
42618126.0	P00734
42618127.0	P00734
42618128.0	P00734
42618129.0	P00734
42618132.0	P00734
42618133.0	P00734
9886808.0	Q9UM73
176870.0	Q9UM73
24867231.0	Q9UM73
10113978.0	Q9UM73
160355.0	Q9UM73
10138259.0	Q9UM73
5329102.0	Q9UM73
3025986.0	O14965
176870.0	O14965
10113978.0	O14965
5329102.0	O14965
9886808.0	Q96GD4
176870.0	Q96GD4
10138259.0	Q96GD4
5329102.0	Q96GD4
9886808.0	Q9UQB9
176870.0	Q9UQB9
10113978.0	Q9UQB9
10138259.0	Q9UQB9
5329102.0	Q9UQB9
44157410.0	P14920
9886808.0	P30530
24867231.0	P30530
10138259.0	P30530
5329102.0	P30530
9886808.0	Q13873
10138259.0	Q13873
5329102.0	Q13873
3025986.0	Q9UQ88
10113978.0	Q9UQ88
3025986.0	P50613
9886808.0	P50613
24867231.0	P50613
160355.0	P50613
10138259.0	P50613
5329102.0	P50613
3025986.0	P50750
24867231.0	P50750
3025986.0	Q9HAZ1
9886808.0	Q9HAZ1
5291.0	Q9HAZ1
153999.0	Q9HAZ1
10138259.0	Q9HAZ1
5329102.0	Q9HAZ1
305244.0	P9WIQ1
53348134.0	Q7Z1V1
53348135.0	Q7Z1V1
53348136.0	Q7Z1V1
53348137.0	Q7Z1V1
3365.0	Q7Z1V1
53348141.0	Q7Z1V1
54592203.0	P11309
54592203.0	Q86V86
50944073.0	Q9H2X6
46843772.0	Q13164
44968267.0	P33981
13373715.0	P07900
44585557.0	P07900
801055.0	Q9H2J4
341388.0	Q9H2J4
2790930.0	Q9H2J4
2791263.0	Q9H2J4
1075274.0	Q9H2J4
57339992.0	P62937
57339994.0	P62937
57339992.0	P62937
57339992.0	P62937
20378781.0	P22303
44123715.0	P22303
4737335.0	P22303
57412014.0	P22303
44123716.0	P22303
401663.0	P22303
57412015.0	P22303
2213715.0	P24941
6539293.0	P24941
6539293.0	P24941
2949825.0	P24941
1286669.0	P24941
1081736.0	P24941
1315738.0	P24941
998043.0	P24941
1266647.0	P24941
2976814.0	P24941
1332044.0	P24941
1093335.0	P24941
865027.0	P24941
5330972.0	P24941
5330972.0	P24941
5330972.0	P24941
2193359.0	P24941
55340835.0	P24941
1091683.0	P24941
91899209.0	P24941
1233877.0	P24941
91899209.0	P24941
91899209.0	P24941
91899206.0	P24941
2945313.0	P24941
1965904.0	P24941
91899206.0	P24941
991138.0	P24941
91899206.0	P24941
802956.0	P24941
1129179.0	P24941
1301107.0	P24941
1250803.0	P24941
